BGGId,Name,Year_Published,Description,Min_Players,Max_Players,Min_Playtime,Max_Playtime,Average_Rating,Bayesian_Average_Rating,Number_of_Ratings
51429,L'Art de la Guerre,2008,"From the publisher's web site:&#10;&#10;L&rsquo;Art de la Guerre is a set of rules for miniatures that allows you to fight battles ranging from early Antiquity (3000 BC) to the end of the Middle-ages (1500 AD). Each player commands an army of twenty or so units.&#10;&#10;The system allows you to play with miniatures of any scale from 6 mm to 28 mm, including 1/72nd scale plastic soldiers. The basing system is fully compatible with DBx and therefore allows you to use your existing armies.&#10;&#10;The rulebook for l'Art de la Guerre also includes all the army lists you will need for the Ancient and Medieval periods as well as for the pre-Columbian Americas - no fewer than 283 of them!&#10;&#10;4th edition - 2021:&#10;&#10;     Entirely revised edition&#10;     300 army lists&#10;&#10;&#10;",2,4,120,120,7.78723,5.54687,47
292608,"Operation Compass: North Africa, December 1940",2019,"Operation Compass: North Africa, December 1940 is an Operational level Solitaire board-wargame where the player primarily takes on the role of commanding the Allied forces during the first 4 days of the campaign in Egypt that saw the Italian forces forced out of that country in 1940. The Italian forces are managed by the player in accordance with the rules. The game is not designed for two players. Each hex represents 3 miles from side to side. Each turn represents half a day. Unit counters represent battalions, or Regiments/Reinforced Regiments. Playing time, typically less than two hours.&#10;&#10;&mdash;description from the publisher&#10;&#10;",1,1,90,150,7.625,0.0,8
36608,Swiss Family Robinson,2005,"""Solo Board, Dice, and Card Game. You control the Swiss Family Robinson. A Group of Pirates is attacking your Rocky Redoubt.""&#10;&#10;The game uses a chess board or other 8x8 grid and a set of custom cards. Six pieces are used to represent the family members, classified as three grown men, two women, and a child. Sixteen pawns are used to represent the pirates.&#10;&#10;Each pirate moves 0-2 spaces toward the family members each turn, as determined by random die roll. The cards are played to cause the family members to attack the pirates.&#10; ""Victory: Drive off all of the Pirates and keep the Family Members from being captured.""&#10;&#10;",1,1,0,0,4.0,0.0,1
2537,Draco & Co,2001,"Draco is the king of all rogues and bandits. He gets his name, not because of his fierce temper, but because of his terrible breath! Draco's ""Company"" is the feared ""Round Table Gang"", a band of brigands who scour the kingdom's roads for loot and plunder. Every night, Draco and the gang gather together at the Shady Dragon Tavern to divide up the day's loot.&#10;In addition to his breath, Draco is famous for his drinking. He loves a good party! And when he starts to get ""happy"" he starts handing out treasure. Whenever someone proposes a toast, Draco gives rewards to the group of thieves on his good side. However, Draco does love his money, so he makes any player on his bad side give up some of their treasure at the same time.&#10;With the aid of drink and furious fawning and elbowing, all the gang members try to stay on Draco's good side and avoid his bad. All in an effort to gain the bandit King's favor, and consequently get a bigger part of the loot.&#10;&#10;Rerelease of Die Tafelrunde.&#10;&#10;",3,6,60,60,5.53557,5.49733,386
290066,The Queen's Collection,2019,"The Queen is a passionate boardgamer, but unfortunately the contents of her favorite games have been mixed together. Putting things in order again will be a real Herculean task for true heroes. Striving to win the favor of the Queen, you have agreed to take care of this task. But time is short, as tonight is the next royal game night. So let&rsquo;s get the job done, and put the pawns back into their proper boxes.&#10;&#10;The Queen's Collection is a limited edition product that celebrates Queen Game's immense catalog of games. The intriguing game system includes 16 cards, each depicting a Queen Game, and players must play cards from their hand to try to sort pawns onto the same colored card. The game includes a competitive, team, coop, and solo play mode.&#10;&#10;&mdash;description from the publisher&#10;&#10;",1,4,25,40,6.01813,5.50345,32
8091,Filmstar,0,"This is a trivia game about movies. Each time a player gets a turn, he can choose for a card with value 1,2,3 or a random value. He can try to earn this card by answering a question or fulfilling a task.&#10;If the question is answered correctly (or the task is fulfilled), the player gets the card. In addition, he may play a card on his playing board. This board contains 20 squares, each of a specific color. When a card is played, the player gains points equal to the value of the card, with two points bonus in the card color matches the board space color.&#10;The game ends when one player has filled his entire board with cards. The player with the most points wins the game.&#10;&#10;",2,4,60,60,5.5,0.0,2
39708,Roliça et Vimeiro 1808,2008,"ROLICA AND VIMEIRO 1808 is a new module of the Jours de Gloire series, including two battles of the 1808 Campaign of Portugal (Junot against Wellesley).&#10;&#10;Roli&ccedil;a and Vimeiro 1808 are the 24th and 25th battles of the Jours de Gloire series. They can be played with the Jours de Gloire Empire &laquo; Version 1808 &raquo; rules published in Vae Victis n&deg;83 and available on the internet at http://pagesperso-orange.fr/jours.de.gloire/, where they are regularly updated.&#10;&#10;Roli&ccedil;a simulates, at battalion scale, the fighting which occurred on 17 August 1808 between General Delaborde&rsquo;s French division and General Wellesley&rsquo;s Anglo-Portuguese army.&#10;&#10;Vimeiro simulates, at battalion scale, the fighting which occurred on 21 August 1808 between General Junot&rsquo;s French Army of Portugal and General Wellesley&rsquo;s Anglo-Portuguese army.&#10;&#10;Rules available in English or French&#10;1 special rules and scenario booklet with historical notes and detailed OdB&#10;2 A3x2 map - 262 counters - 1 color Player Aid Card&#10;&#10;",2,0,0,0,7.45455,5.52483,33
256527,Monster Clans,2018,"Monster Clans is a card game for children where you chose a monster (Dracula, the Werewolf, Frankenstein or the Mummy) and try to defeat other players using zombies and megacriatures.&#10;&#10;To defeat your oponent and win the game you have to make the enemy's life total 0 or less. To acomplish that you should play your monster cards that have different habilities and effects depending their position in the table and the monsters they've nearby.&#10;&#10;&mdash;user summary&#10;&#10;",2,4,0,0,6.85714,0.0,7
84630,Svoyi Koziri,0,"Russian card game of attacking and getting rid of all cards. Originally a game for two, three or four players, it's mostly known today in an adapted version for two players brought into England by the Mathematics professor A.S. Besikovitch, and later included in David Parlett's Oxford Guide to Card Games. This version is played with exposed cards and symmetrical hands, giving it a strong strategic flavour.&#10;&#10;At the beginning of the (Besikovitch) game each player chooses two sets without overlapping with the other player, typically in a 32-card deck, out of which one is their own trump. Cards are dealt for the first player, who keeps the cards of their both sets; the second player gets exactly the same cards in the other sets and both their hands are filled up with the rest of the cards. As an example: a player who's chosen spades and clubs with spades as trumps keeps the cards in both sets and gives all their red cards together with the undealt cards to the other player, who then selects the analog cards to the first player's in the red sets with hearts as trumps, gives the rest of the red cards back to the first player and finally keeps all the remaining black cards. Both hands are symmetrical, and play can start.&#10;&#10;From now on each turn a player lays a card in a pile between both players; before the next player can play out a card of their choice they must throw one that is superior in value to the top card in the pile or a trump. If the player can't or doesn't want to do so they must take the whole pile and forfeit the turn. So, each player throws two cards in a row: one following the previous card, and one to be followed by the opponent. The first player to get rid of all cards in their hand is the winner.&#10;&#10;",2,4,0,0,6.40625,0.0,8
30423,Video Varmints,1983,Players attempt to blow as many varmints into their opponent's goal as possible in this air powered game.&#10;&#10;,2,2,20,20,0.0,0.0,0
