BGGId,Name,Year_Published,Description,Min_Players,Max_Players,Min_Playtime,Max_Playtime,Average_Rating,Bayesian_Average_Rating,Number_of_Ratings,Mechanics,Categories
81305,Quarterback King,2010,"Quarterback King is a board game which unites the sport of football and the game of chess into a fun, strategic game for two players. The game pieces are set-up in a traditional football formation, on a twenty-four square by ten square checkered football field board. The object of the game, like football, is to outscore the opponent. One player manages the offensive game pieces, trying to maneuver the quarterback towards the opponent&rsquo;s end zone for a score (touchdown or field goal). The other player manages the defensive game pieces, trying to capture the quarterback or prevent its advancement toward the goal line.&#10;&#10;Pieces are moved one at a time, similar to chess, beginning with the offensive team, then alternating to the defensive team. Each game piece is assigned a specific directional pattern of movement. Once a piece is captured it is removed from the game board. If the quarterback is captured, players switch roles, with the defensive team becoming the offensive team at the point of capture and vice versa. All pieces are returned to the board and play resumes.&#10;&#10;Scoring: A touchdown is seven points; a field goal is three points; a safety is two points.&#10;&#10;Game Timing: The game is played in two halves or four fifteen minute quarters.  Each coach is allowed three timeouts per half.&#10;&#10;Play timing: The offensive coach has thirty seconds to move a piece.  The defensive coach has fifteen seconds to make a responding move, which makes for a fast-paced and pressure packed game of strategic fun.&#10;&#10;This description is attributed to Cort Hubbard, the game designer.&#10;&#10;",2,2,90,90,7.5,0,2,[],['Sports']
230726,Highway to Hell 2: Return to Flora (Savage Worlds),2017,"From publisher blurb:&#10;&#10;Highway to Hell 2: Return to Flora Savage Edition is an adventure seed for use with Contagion Savage Edition. Rather than being a linear module with events that go from point A to point B, this story seed provides information a Gamemaster can use to flesh out their own unique story. Basic events are illustrated along with character snapshots. The ending is left open and ambiguous, for the Gamemaster to decide.&#10;&#10;Highway to Hell 2: Return to Flora serves as an introductory story for Contagion Savage Edition. Certain elements of the setting are explored and expanded upon in this adventure seed. Due to the nature of the disturbances and events in Highway to Hell 2: Return to Flora Savage Edition, characters from virtually any background or faction could get involved with the investigation. Experienced groups can also use this story seed with very minor adjustments made by the Gamemaster to account for the characters&rsquo; greater experience and resources.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
43420,Buffalo Bill Jr's Cattle Round-up Game,1956,"Spin and move game with an ultra colorful game board and the customary cheap Built-Rite/Warren Paper Product components. This is a spin and move game for kids. Graphics are colorful for the age of the game, and the spinner is pretty.&#10;&#10;The other side of the board features the game Horseshoe Derby.&#10;&#10;",2,4,0,0,0,0,0,['Roll / Spin and Move'],"['American West', 'Animals', ""Children's Game"", 'Movies / TV / Radio theme']"
109024,Skate Crazy,N/A,"User Summary&#10;&#10;You are Freddy and your task is to impress your friends, and the judges, in an exciting skateboarding competition consisting of four challenging stages. The car park where the challenges are taking place is full of hazards so you must be careful not to crash or get too tired. There is a time limit involved so you must be speedy. Additionally, if your performance is below par you must repeat the stage.&#10;&#10;",1,2,N/A,N/A,0,0,0,[],[]
208284,Scratch Wars,2017,"Game description from the publisher:&#10;&#10;Scratch Wars is close to a collectible game, but in certain game modes it's closer to a board game and can be also played online through a phone application for iOS and Android.&#10;&#10;In more detail, to start playing Scratch Wars you need only two cards: one hero and one weapon. The cards are unique in several aspects. You can scratch them like lottery tickets, but by doing so you are not destroying or devaluing them. Each hero card is unique; each hero has a unique name and value generated. No one else in the world will have the same card! Slowly uncover the card by scratching it and in combination with unique values, it is pleasantly thrilling. Cards can even be bought individually. (Would you rather have a hero or a weapon?)&#10;&#10;With an increasing number of weapon cards, you can try a sophisticated one-on-one duel in which you equip your hero with up to five weapons, then think strategically to find out which one to use when. The duel itself is very interesting; you spin a special circular weapon: turntable paper on a stick. The hero has certain levels of energy which you spend using various weapons. Heroes can change weapons during the turn and their proper use is the focus of the game. The game is risk management; you are trying to spend the hero's energy for the best possible effects. According to the composition of effects, you choose weapon, strategy and risk. You can attack the opponent's weapon, his permanent effects, or the hero directly. You have to decide when to repair a weapon, when to save energy for the hit with more powerful weapons, etc.&#10;&#10;Once you get into the basic game, you can try a more comprehensive and strategic mode in which teams of heroes compete against each other. Then you can move to the top mode where entire armies of heroes collide. With more than two players, it is possible to play in teams or each player plays by themselves with modified rules. The game is perfect for tournaments.&#10;&#10;If you want to play with just one player, simply scan the card into your phone and you can play online. There is a varied range of options at your disposal, from tournaments and hero trainings to territorial fights. The goal is to level your hero up and obtain spells for him. As the first game in the world, Scratch Wars presents digital ownership so that what you have physically, you also have digitally. If you later want to replace or sell any of your heroes, you can change them digitally with all that is recorded on the card, i.e., with all the spells and experiences.&#10;&#10;If you would rather play the game more as a board game and add more strategic options, you will be able to expand the game with ""trade"" cards or hero's ""abilities"".&#10;&#10;",2,8,7,30,6.16429,0,14,"['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting', 'Push Your Luck']","['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']"
61919,Vermine: Livre du Meneur,2004,"User's summary:&#10;&#10;The gamemaster book contains descriptions of locations, people and organizations of Europe in year 2037, after thirty years of vermin infestation, details about different species of vermins and mutated parasites, and the secrets of shamanism and the Eight Totems. It contains also rules options and advices on how to run adventures, several reference tables, and two ready-to-play adventures.&#10;&#10;",N/A,N/A,N/A,N/A,7,0,2,[],[]
42701,Beleaguered Castle,0,"Beleagued Castle is a solitaire card game played with a standard deck of 52 playing cards.  It is also called Laying Seige or Sham battle.&#10;&#10;Rules.&#10;&#10;First the player removes the four aces from the pack and places them face up in a column in the center of the table to form the foundations.&#10;&#10;Then the remainder of the deck is shuffled and a column of four cards is dealt to the left of the aces, followed by a column to the right of the aces.&#10;&#10;Succeeding columns are dealt on these successively, each column overlapping the last until the whole pack is dealt.  This forms eights rows of six cards in each.&#10;&#10;The object of the game is to build on the foundations in suit sequence up to the kings.  The cards available for play are those at the far ends of each row.  They can be built directly onto the foundations or packed onto another available cards in descending order of rank, irrespective of suit.&#10;&#10;When one row is emptied, it can be filled with any available card.  There are thus always eight available cards for play.&#10;&#10;This game is quick to play but with many failures which can be frustrating.&#10;&#10;Variations.&#10;&#10;Siegecraft&#10;&#10;This allows an extra cell for nay card to be placed on it the assist in uncovering key cards, making it easier.  The cell can only accomodate one card.&#10;&#10;",1,1,15,15,4.27083,0,12,[],['Card Game']
270848,Super Heroes in Tights,2012,"Super Heroes in Tights is a rule conversion of the original ERPS, placed in the current time and adding super powers instead of magic.&#10;&#10;Ever wanted to be a super hero? Here is your chance to start as a sidekick and learn to be a real hero!&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
236045,100 Tomes of Knowledge for all Fantasy RPGs,2016,"Publisher's blurb:&#10;&#10;This list of 100 fantasy inspired nonmagical books and manuals of learning, information and skill development, will help furnish your fantasy bookshelves with interesting flourishes of detail and add a bit of literary flavour to your player's library experiences and encounters!&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
31672,Photo Trivia: Potpourri Game,1984,"Object: Players try to win each card by looking at the photo and correctly answering a question from that card.  The player who collects the most cards is the winner.&#10;&#10;You can play all the questions or just a few.  And because no game board or score pad is needed, you can play anywhere!  Play at home, at parties, or while traveling.&#10;&#10;Number of players:  Two or more, individually or in teams.&#10;&#10;Approximate Playing Time:  10 minutes to a whole evening.&#10;&#10;Equipment:  Two decks of Photo Trivia cards - 107 photos, 642 questions and answers, rules.&#10;&#10;The Potpourri Game has something for everyone!&#10;&#10;",2,10,10,10,5.5,0,2,['Open Drafting'],['Trivia']
19515,Election,1980,Players move across a map of Europe to gain popularity for the upcoming European elections. Points are scored for completing secret goals indicated on different colored cards.&#10;&#10;,2,6,0,0,5.6,0,5,"['Area Movement', 'Campaign / Battle Card Driven', 'Dice Rolling']","['Political', 'Territory Building', 'Travel']"
49430,Magic of the Young Kingdoms,2008,"From the back of the book:&#10;&#10;""Magic of the Young Kingdoms contains a wealth of information, not just for those allied with Chaos. Within you will find new runes, along with advice on how to use them effectively. Summoning spells, the likes of which have not been seen before, shall allow you to conjure the most fearsome demons to work for you or with you.&#10;&#10;Included are step by step guide to the Elemental Paths, along with in depth descriptions and last known locations of ancient texts, filled with magical secrets far beyond even the most experienced sorcerer's imagination.&#10;&#10;The dark art of necromancy is described at length, with extensive advice to guide you through the process and keep you safe from the dangerous pitfalls that are ever present within this discipline. There is also an extensive guide to the dream worlds and their safe navigation, as one wrong move or wrong thought, could leave you stranded there forever.&#10;&#10;The magics contained within this book are not for the faint of heart or the weak of mind. They are powerful and dangerous never to be taken lightly. So to the brave, the strong and possibly the crazy, take up this powerful book and see the extent of where it can lead you.""&#10;&#10;",N/A,N/A,N/A,N/A,8,0,1,[],[]
59995,Total Warfare,2006,"Publisher's decription:&#10;&#10;""The Future of Warfare!&#10;&#10;It is the 31st century, a time of endless wars that rage across human-occupied space. As star empires clash, these epic wars are won and lost by BattleMechs, 30-foot-tall humanoid metal titans bristling with lasers, autocannons and dozens of other lethal weapons; enough firepower to level entire city blocks. Your elite force of MechWarriors drives these juggernauts into battle, proudly holding your faction&rsquo;s flag high, intent on expanding the power and glory of your realm. At their beck and call are the support units of armored vehicles, power armored infantry, aerospace fighters and more, wielded by a MechWarrior&rsquo;s skillful command to aid him in ultimate victory. Will they become legends, or forgotten casualties? Only your skill and luck will determine their fate!&#10;&#10;The product of more than twenty years of gaming experience, Total Warfare presents the rules of the Classic BattleTech game system as never before. For the first time, all the rules for various units that have a direct impact on the deadly battlefields of the thirty-first century appear in a unified rules set: from BattleMechs to ProtoMechs, Combat Vehicles to Support Vehicles, infantry to aerospace fighters and DropShips. Interwoven and meticulously updated, Total Warfare provides the most detailed and comprehensive rules set published to date for BattleTech - the perfect companion for standard tournament play.&#10;&#10;Total Warfare is the single-source rulebook for people who play Classic BattleTech. It is not intended to teach new players the game, but rather to serve as a reference work for people who know the game, while introducing more technologies and expansive rules than appear in the basic box set. The introductory game in the BattleTech line is the Classic BattleTech Introductory Box Set. New players should pick up that product before diving into this one.&#10;&#10;Construction rules for the various units presented in Total Warfare can be found in Classic BattleTech TechManual. ""&#10;&#10;",N/A,N/A,N/A,N/A,7.71429,6.00472,7,[],[]
18363,Keep On Truckin' America,1976,"Players complete trips across the united states as truckers. The game includes an oversized gameboard, money, various types of special cards (Dispatch Cards, Smokey Sez! Cards, Bonus Cards, Truck Scales Cards, Keep On Truckin' Cafe Cards, and Time Cards), and small plastic trucks.&#10;&#10;The game begins by rolling for a dispatch card. Then players roll the die and move along their assigned route (from the dispatch card). Many spaces require that a user draw a card and follow the directions. Once a player finishes five trips he wins.&#10;&#10;The game is an attempt to present a realistic trucking experience. For instance (quote from the rules): ""If a trucker cannot pay a debt or loses all of his money, he is bankrupt. Going bankrupt is one of the realities of trucking. The player cannot borrow money. He cannot continue to play.""&#10;&#10;",2,5,60,60,5.83333,0,3,['Roll / Spin and Move'],['Transportation']
239484,Winds of Change,2015,"Waking Dreams: Part 1 of 3&#10;&#10;A One-Round Low-Rank Adventure&#10;&#10;From the introduction:&#10;&#10;An invitation to celebrate at the city known as ""Ryoko O-Wari by the Sea"" brings the promise of untold extravagance - but at what cost?&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
49080,Dwarves Deep,1990,"From the Back of the Book:&#10;&#10;It takes most adventurers in the Realms a lifetime to learn more than a handful of the secrets of the dwarves.&#10;&#10;The seeking cost some their lives.&#10;&#10;But Elminster's agreed to change all that.&#10;&#10;Welcome to Dwarves Deep.&#10;Welcome to the secrets of the dwarves.&#10;&#10;This sourcebook is one of a series that belongs on the bookshelf of any dungeon master exploring the rich land (and dark under-realms) of the Forgotten Realms. It presents an introduction to the Deep Folk of Faerun, three unique races of dwarves. Virtually all of the famous ""dungeons"" of the Realms, explored by adventurers seeking treasure, magic, and lore, were built - and in most cases, once occupied - by the dwarves. Learn their ways and unlock their secrets.&#10;&#10;In the pages of Dwarves Deep, readers will find:&#10;&#10;&#10;     Dwarven spells of earth and fire,&#10;     Dwarven magical items of rare quality and power,&#10;     Details of the dwarven language, their names and runes,&#10;     Details of dwarven clans, priesthoods, and adventuring brotherhoods,&#10;     Details of dwarven lands and settlements, including the fabled riches, ways, and armies of the Great Rift, the Deeps, and the Lost Kingdoms,&#10;     New monsters and notes on dwarven halfbreeds and the special powers wielded by dwarven High Olds Ones,&#10;     Special metals and alloys used by the dwarves to hone the blades that slay their enemies,&#10;     Dwarven beards...and much, much more! &#10;&#10;&#10;",N/A,N/A,N/A,N/A,7.29808,6.40452,26,[],[]
